step,balance
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,100.0
8,100.0
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,100.0
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,100.0
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,100.0
30,100.0
31,100.0
32,100.0
33,100.0
34,99.9695
35,99.9695
36,99.9695
37,99.9695
38,99.9695
39,99.9695
40,99.9695
41,99.9695
42,99.9695
43,99.9695
44,99.9695
45,99.9695
46,99.9695
47,99.9695
48,99.9695
49,99.9695
50,99.9695
51,99.9695
52,99.9695
53,99.9695
54,99.9695
55,99.9695
56,99.9695
57,99.9695
58,99.9695
59,99.9695
60,99.9695
61,99.9695
62,99.9695
63,99.9695
64,99.9695
65,99.9695
66,99.9695
67,99.9695
68,99.9695
69,99.9695
70,99.9695
71,99.9695
72,99.9695
73,99.9695
74,99.9695
75,99.9695
76,99.9695
77,99.9695
78,99.9695
79,99.9695
80,99.9695
81,101.2171
82,101.2171
83,101.2171
84,101.2171
85,101.2171
86,101.2171
87,101.2171
88,101.2171
89,101.2171
90,101.2171
91,101.2171
92,101.2171
93,101.2171
94,101.2171
95,101.2171
96,101.2171
97,101.2171
98,101.2171
99,101.2171
100,101.2171
101,101.2171
102,101.2171
103,101.2171
104,101.2171
105,101.2171
106,101.2171
107,101.2171
108,101.2171
109,101.2171
110,101.2171
111,101.2171
112,101.2171
113,101.2171
114,101.2171
115,101.2171
116,101.2171
117,101.2171
118,101.2171
119,101.2171
120,101.2171
121,101.2171
122,101.2171
123,101.2171
124,101.2171
125,101.2171
126,101.2171
127,101.2171
128,101.2171
129,101.1862
130,101.1862
131,101.1862
132,101.1862
133,101.2855
134,101.2855
135,101.2855
136,101.2855
137,101.2855
138,101.2855
139,101.2855
